age,default,housing,loan,duration,campaign,pdays,previous,emp_var_rate,euribor3m,nr_employed
38,0.0,0.0,0.0,261,1,999,0,1.1,4857.0,5191.0
57,,0.0,0.0,149,1,999,0,1.1,,5191.0
37,0.0,1.0,0.0,226,1,999,0,1.1,4857.0,5191.0
40,0.0,0.0,0.0,151,1,999,0,1.1,,5191.0
56,0.0,0.0,1.0,307,1,999,0,1.1,,5191.0
45,,0.0,0.0,198,1,999,0,1.1,4857.0,5191.0
59,0.0,0.0,0.0,139,1,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,217,1,999,0,1.1,4857.0,5191.0
24,0.0,1.0,0.0,380,1,999,0,1.1,4857.0,5191.0
25,0.0,1.0,0.0,50,1,999,0,1.1,,5191.0
41,,0.0,0.0,55,1,999,0,1.1,4857.0,5191.0
25,0.0,1.0,0.0,222,1,999,0,1.1,,5191.0
29,0.0,0.0,1.0,137,1,999,0,1.1,4857.0,5191.0
57,0.0,1.0,0.0,293,1,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,146,1,999,0,1.1,4857.0,5191.0
54,,1.0,1.0,174,1,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,312,1,999,0,1.1,,5191.0
38,,1.0,1.0,440,1,999,0,1.1,4857.0,5191.0
50,0.0,1.0,1.0,353,1,999,0,1.1,4857.0,5191.0
39,,0.0,0.0,195,1,999,0,1.1,,5191.0
30,0.0,0.0,0.0,38,1,999,0,1.1,4857.0,5191.0
55,,1.0,0.0,262,1,999,0,1.1,4857.0,5191.0
55,0.0,1.0,0.0,342,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,181,1,999,0,1.1,4857.0,5191.0
37,0.0,1.0,0.0,172,1,999,0,1.1,4857.0,5191.0
35,0.0,0.0,1.0,99,1,999,0,1.1,,5191.0
38,0.0,1.0,0.0,93,1,999,0,1.1,4857.0,5191.0
39,,0.0,0.0,233,1,999,0,1.1,4857.0,5191.0
54,,0.0,0.0,255,2,999,0,1.1,,5191.0
55,,,,362,1,999,0,1.1,4857.0,5191.0
46,0.0,0.0,0.0,348,1,999,0,1.1,,5191.0
59,0.0,1.0,0.0,386,1,999,0,1.1,,5191.0
49,0.0,0.0,0.0,73,1,999,0,1.1,4857.0,5191.0
54,,1.0,0.0,230,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,208,1,999,0,1.1,4857.0,5191.0
55,,1.0,0.0,336,1,999,0,1.1,,5191.0
34,0.0,0.0,0.0,365,1,999,0,1.1,,5191.0
52,0.0,1.0,0.0,1666,1,999,0,1.1,4857.0,5191.0
41,0.0,1.0,0.0,577,1,999,0,1.1,4857.0,5191.0
56,0.0,1.0,0.0,137,1,999,0,1.1,4857.0,5191.0
58,0.0,1.0,0.0,366,1,999,0,1.1,4857.0,5191.0
32,0.0,1.0,0.0,314,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,160,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,1.0,212,1,999,0,1.1,4857.0,5191.0
44,,1.0,0.0,188,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,22,1,999,0,1.1,4857.0,5191.0
57,0.0,1.0,1.0,616,1,999,0,1.1,4857.0,5191.0
40,0.0,0.0,1.0,178,1,999,0,1.1,,5191.0
35,0.0,1.0,0.0,355,1,999,0,1.1,,5191.0
45,0.0,1.0,0.0,225,2,999,0,1.1,4857.0,5191.0
54,0.0,0.0,0.0,160,1,999,0,1.1,4857.0,5191.0
39,0.0,0.0,1.0,266,1,999,0,1.1,,5191.0
60,0.0,0.0,0.0,253,1,999,0,1.1,,5191.0
38,0.0,0.0,0.0,179,1,999,0,1.1,,5191.0
55,,0.0,0.0,269,2,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,135,1,999,0,1.1,4857.0,5191.0
50,,0.0,1.0,161,1,999,0,1.1,,5191.0
45,,1.0,0.0,787,1,999,0,1.1,4857.0,5191.0
55,,1.0,1.0,145,1,999,0,1.1,4857.0,5191.0
25,0.0,1.0,0.0,174,1,999,0,1.1,,5191.0
38,,0.0,0.0,449,1,999,0,1.1,4857.0,5191.0
51,0.0,1.0,0.0,812,1,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,164,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,366,1,999,0,1.1,4857.0,5191.0
48,0.0,0.0,0.0,357,1,999,0,1.1,4857.0,5191.0
37,0.0,0.0,0.0,232,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,91,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,273,1,999,0,1.1,4857.0,5191.0
56,0.0,1.0,0.0,158,2,999,0,1.1,4857.0,5191.0
38,,1.0,1.0,177,1,999,0,1.1,4857.0,5191.0
41,0.0,0.0,0.0,200,1,999,0,1.1,4857.0,5191.0
44,0.0,1.0,0.0,172,1,999,0,1.1,,5191.0
47,,1.0,0.0,176,1,999,0,1.1,4857.0,5191.0
57,,0.0,0.0,211,1,999,0,1.1,4857.0,5191.0
37,,1.0,0.0,214,1,999,0,1.1,4857.0,5191.0
41,,1.0,0.0,1575,1,999,0,1.1,4857.0,5191.0
55,0.0,0.0,0.0,349,1,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,337,2,999,0,1.1,4857.0,5191.0
55,,1.0,0.0,272,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,208,1,999,0,1.1,4857.0,5191.0
50,,1.0,0.0,193,1,999,0,1.1,4857.0,5191.0
51,,,,212,1,999,0,1.1,,5191.0
38,,0.0,0.0,165,2,999,0,1.1,4857.0,5191.0
49,,1.0,0.0,1042,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,1.0,20,1,999,0,1.1,,5191.0
31,0.0,0.0,0.0,246,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,529,2,999,0,1.1,4857.0,5191.0
39,0.0,1.0,1.0,192,1,999,0,1.1,,5191.0
49,0.0,0.0,0.0,1467,1,999,0,1.1,4857.0,5191.0
34,0.0,1.0,0.0,188,2,999,0,1.1,,5191.0
35,0.0,1.0,0.0,180,2,999,0,1.1,,5191.0
38,,1.0,0.0,48,1,999,0,1.1,4857.0,5191.0
60,,0.0,1.0,213,2,999,0,1.1,4857.0,5191.0
33,0.0,0.0,0.0,545,1,999,0,1.1,4857.0,5191.0
42,0.0,0.0,1.0,583,1,999,0,1.1,4857.0,5191.0
45,0.0,1.0,0.0,221,1,999,0,1.1,4857.0,5191.0
42,0.0,0.0,0.0,426,1,999,0,1.1,,5191.0
53,,0.0,0.0,287,1,999,0,1.1,4857.0,5191.0
37,0.0,0.0,0.0,197,1,999,0,1.1,4857.0,5191.0
44,0.0,0.0,0.0,257,1,999,0,1.1,4857.0,5191.0
54,0.0,1.0,0.0,229,1,999,0,1.1,4857.0,5191.0
49,0.0,0.0,0.0,55,3,999,0,1.1,4857.0,5191.0
54,0.0,0.0,0.0,400,1,999,0,1.1,,5191.0
52,0.0,0.0,0.0,197,1,999,0,1.1,4857.0,5191.0
52,0.0,0.0,0.0,190,1,999,0,1.1,4857.0,5191.0
43,,0.0,0.0,21,1,999,0,1.1,4857.0,5191.0
34,0.0,1.0,0.0,300,2,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,123,2,999,0,1.1,4857.0,5191.0
42,,1.0,0.0,293,1,999,0,1.1,4857.0,5191.0
43,,1.0,1.0,325,1,999,0,1.1,4857.0,5191.0
60,,0.0,0.0,514,1,999,0,1.1,4857.0,5191.0
58,,0.0,0.0,849,2,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,194,1,999,0,1.1,4857.0,5191.0
55,,1.0,0.0,212,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,337,2,999,0,1.1,4857.0,5191.0
36,0.0,0.0,0.0,286,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,247,2,999,0,1.1,4857.0,5191.0
57,,1.0,0.0,518,1,999,0,1.1,,5191.0
56,0.0,1.0,0.0,364,1,999,0,1.1,4857.0,5191.0
50,0.0,0.0,0.0,61,1,999,0,1.1,4857.0,5191.0
31,0.0,1.0,1.0,78,1,999,0,1.1,4857.0,5191.0
56,0.0,1.0,0.0,102,2,999,0,1.1,4857.0,5191.0
41,,1.0,0.0,579,1,999,0,1.1,4857.0,5191.0
37,0.0,1.0,1.0,143,1,999,0,1.1,4857.0,5191.0
41,,0.0,0.0,677,1,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,267,1,999,0,1.1,4857.0,5191.0
37,0.0,1.0,0.0,345,1,999,0,1.1,4857.0,5191.0
52,0.0,0.0,0.0,185,1,999,0,1.1,4857.0,5191.0
39,0.0,0.0,0.0,207,1,999,0,1.1,,5191.0
39,,0.0,0.0,69,2,999,0,1.1,4857.0,5191.0
56,,0.0,0.0,100,2,999,0,1.1,4857.0,5191.0
34,0.0,1.0,0.0,125,2,999,0,1.1,,5191.0
38,,1.0,0.0,461,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,240,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,70,1,999,0,1.1,4857.0,5191.0
39,0.0,1.0,0.0,193,1,999,0,1.1,,5191.0
53,0.0,1.0,0.0,136,1,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,73,1,999,0,1.1,4857.0,5191.0
42,,1.0,0.0,528,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,541,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,338,1,999,0,1.1,4857.0,5191.0
40,,1.0,0.0,163,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,87,1,999,0,1.1,4857.0,5191.0
60,,0.0,0.0,301,1,999,0,1.1,4857.0,5191.0
56,,1.0,0.0,46,1,999,0,1.1,,5191.0
39,,1.0,0.0,52,1,999,0,1.1,4857.0,5191.0
56,,0.0,0.0,204,1,999,0,1.1,,5191.0
40,0.0,1.0,1.0,155,1,999,0,1.1,4857.0,5191.0
36,0.0,1.0,1.0,98,1,999,0,1.1,,5191.0
51,,1.0,0.0,71,1,999,0,1.1,4857.0,5191.0
51,,0.0,0.0,243,1,999,0,1.1,4857.0,5191.0
43,0.0,1.0,0.0,186,2,999,0,1.1,4857.0,5191.0
